station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
NZSP,,-90,0,9300,South Pole Station Airport,AQ-U-A,,
AQ-0005,,-89.989444,-1,9300,Jack F. Paulus Skiway,AQ-U-A,,
SCPZ,,-80.31829834,-81.30809784,2900,Patriot Hills Airport,AQ-U-A,Antartica,
SCGC,,-79.777778,-83.320833,2461,Unión Glaciar Airport,AQ-U-A,Antartica,
AT28,,-78.466139,106.84825,11447,Skyway VOSTOK,AQ-U-A,,
NZPG,,-77.96340179,166.5249939,18,McMurdo Station Pegasus Field,AQ-U-A,McMurdo Station,
SAYB,,-77.8740548,-34.62615967,820,Base Belgrano II Airport,AQ-U-A,,
NZWD,,-77.86740112,167.0570068,68,Williams Field,AQ-U-A,McMurdo Station,
NZIR,,-77.85399628,166.4689941,1,McMurdo Station Ice Runway,AQ-U-A,McMurdo Station,
AQ-0004,,-77.650008,-41.0333,0,Base Cientifica Ellsworth,AQ-U-A,,
EGAH,,-75.567406,-25.516435,103,Halley Research Station,AQ-U-A,,
AT03,,-75.103278,123.35825,10725,Concoirdia Skyway,AQ-U-A,,
EGAT,,-74.849722,-71.566666,4740,Sky-Blu Field Station,AQ-U-A,,
AQBC,,-74.740461,164.032745,672,Base aerea  BoulderClay,AQ-U-A,,
AQ-0002,,-71.95559,2.455581,4167,Troll Airfield,AQ-U-A,Troll Station,
AQ-0001,,-70.8461,11.8472,390,Novolazarevskaya Station,AQ-U-A,Queen Maud Land,
AT25,,-69.006167,39.59,95,Showa Station Skiway,AQ-U-A,Showa Station,
SAYS,,-68.11669922,-67.09999847,75,San Martín Base,AQ-U-A,,
EGAR,,-67.5675,-68.12740278,9,Rothera Research Station,AQ-U-A,,
AAXX,,-67.56694116,-68.12699318,0,Rothera Point Airport,AQ-U-A,Rothera Point,
YWKS,,-66.690833,111.523611,2529,Wilkins Runway,AQ-U-A,,
SAWZ,,-64.976998,-60.108992,75,Matienzo Base,AQ-U-A,,
AQ-0003,,-64.824,-62.857,1,González Videla Antarctic Base,AQ-U-A,Waterboat Point,
NZ12,,-64.775002,-64.054398,149,Palmer Station Airport,AQ-U-A,,
SAWB,,-64.23829651,-56.63079834,760,Marambio Base,AQ-U-A,Seymour Island,
SA47,,-63.47900009,-56.23130035,15,Petrel Airport,AQ-U-A,,
SAYE,,-63.40000153,-56.98329926,75,Esperanza Base,AQ-U-A,Hope Bay,
SCBO,,-63.344,-57.842,900,General Bernardo O'Higgins Base Skyway,AQ-U-A,General Bernardo O'Higgins Base,
SAYJ,,-62.23830032,-58.66659927,12,Jubany Airbase,AQ-U-A,South Shetland Archipielago- King George Island,
SCRM,,-62.19079971,-58.98669815,147,Teniente Rodolfo Marsh Martin Base,AQ-U-A,Isla Rey Jorge,
SAYO,,-60.74029922,-44.74250031,75,Orcadas Base,AQ-U-A,Laurie Island,
SCGZ,,-54.93109894,-67.626297,88,Guardiamarina Zañartu Airport,CL-MA,Puerto Williams,
SAWH,,-54.8433,-68.2958,102,Malvinas Argentinas Airport,AR-V,Ushuahia,
SCNY,,-54.83139038,-68.83166504,164,Yendegaia Airport,CL-MA,Navarino,
SAWO,,-54.8227,-68.3043,19,Estación Aeronaval Airport,AR-V,Ushuahia,
SAWL,,-54.52190018,-67.1989975,90,Tolwin Observatory Airport,AR-V,Tolwin (Lago Fagnano)/observatorio MET(TAIS),
SA15,,-54.499699,-67.173103,600,Lago Fagnano North Airport,AR-V,Toluhin,
SCAZ,,-54.47972107,-68.9366684,59,Azopardo Airport,CL-MA,Timaukel,
AR-0002,,-54.34410095,-67.832901,1914,Los Cerros Airport,AR-V,Los Cerros,
AR-0510,,-54.069,-67.6536,102,Los Robles Airport,AR-V,Estancia El Roble,
SCBI,,-54.049977,-68.809193,591,Pampa Guanaco Airport,CL-MA,Bahia Inutil,
AR-0003,,-53.98270035,-68.52359772,201,Rio Bellavista Airport,AR-V,Rio Bellavista,
CL-0007,,-53.8924,-68.8,342,Arco Iris Airport,CL-MA,Rio Grande,
SCFN,,-53.799,-69.12,684,Russfin Airport,CL-MA,Timaukel,
SAWE,,-53.7777,-67.7494,65,Hermes Quijada International Airport,AR-V,Rio Grande,
AR-0509,,-53.642,-67.9486,26,Rio Chico Highway Strip,AR-V,,
SCDW,,-53.6106987,-70.47049713,160,Almirante Schroeders Airport,CL-MA,Isla Dawson,
AR-0508,,-53.432,-68.167,52,Sara Airport,AR-V,Estancia Sara,
CL-0006,,-53.3812,-69.293,39,Onaisin Airport,CL-MA,Onaisin,
SCSS,,-53.31700134,-68.65000153,50,San Sebastián Airport,CL-MA,San Sebastian,
SCFM,,-53.25370026,-70.31919861,104,Capitan Fuentes Martinez Airport Airport,CL-MA,Porvenir,
CL-0001,,-53.1315,-70.87,30,Bahia Catalina Airport,CL-MA,Punta Arenas,
CL-0002,,-53.064,-70.26,36,Gente Grande Airport,CL-MA,Porvenir,
SCCI,,-53.002602,-70.854599,139,Pdte. Carlos Ibañez del Campo Airport,CL-MA,Punta Arenas,
SCIT,,-52.95500183,-70.03279877,144,Iván Martinez Airport,CL-MA,Isla Tierra Del Fuego,
AR-0507,,-52.9435,-68.4021,120,Estancia Cullen South Airport,AR-V,Estancia Cullen,
AR-0001,,-52.88510132,-68.41220093,132,Cullen Airport,AR-V,Cullen,
SCID,,-52.87361145,-70.75,30,Marco Davison Bascur Airport,CL-MA,Punta Arenas,
SCSB,,-52.73669815,-69.33360291,104,Franco Bianco Airport,CL-MA,Cerro Sombrero,
CL-0004,,-52.595,-70.3521,84,Cinco de Enero Airport,CL-MA,Santa Maria,
SCPX,,-52.59166718,-68.75,90,Punta Catalina Airport,CL-MA,Punta Catalina,
CL-0005,,-52.5427,-70.535,161,Oazy Harbour Airport,CL-MA,,
SCTH,,-52.525278,-70.723889,322,Tres Chorrillos Airport,CL-MA,San Gregorio,
FK-0034,,-52.441146,-59.127616,0,Sea Lion Island Airstrip,FK-U-A,Sea Lion Island,
FK-0003,,-52.428215,-59.077744,0,Sea Lion Lodge Airstrip,FK-U-A,Sea Lion Island,
CL-0003,,-52.403,-69.704,85,Kimiri Ayke Airport,CL-MA,,
SCNS,,-52.39611053,-69.75694275,236,Sandra Scabini Airport,CL-MA,Punta Arenas,
FK-0023,,-52.349583,-59.758717,0,George Island Airport,FK-U-A,George Island House,
SCBS,,-52.29999924,-68.93333435,100,Posesión Airport,CL-MA,Bahia Posesion,
FK-0026,,-52.2299,-59.744502,0,Speedwell Island Airport,FK-U-A,Speedwell Island,
FK-0013,,-52.205532,-60.535062,0,Port Abermarle Airport,FK-U-A,Port Abermarle,
FK-0027,,-52.181403,-58.858788,0,Bleaker Island Airport,FK-U-A,Bleaker Island,
FK-0019,,-52.123295,-59.370239,0,North Arm Airport,FK-U-A,North Arm,
FK-0012,,-52.09473,-60.852379,0,Port Stephens Airport,FK-U-A,Port Stephens,
FK-0032,,-52.090803,-60.282682,65,Port Edgar Airport,FK-U-A,Port Edgar,
FK-0022,,-51.995626,-58.459238,0,Lively Island Airport,FK-U-A,Lively,
FK-0025,,-51.964171,-58.787408,0,Walker Creek Airport,FK-U-A,Walker Creek,
FK-0035,,-51.955049,-60.06315,0,Fox Bay East Airstrip,FK-U-A,Fox Bay East,
FK-0001,,-51.933694,-60.061595,0,Fox Bay Clay Airstrip,FK-U-A,Fox Bay,
FK-0028,,-51.875659,-60.90601,0,Weddell Island Airport,FK-U-A,Weddell Island,
FK-0029,,-51.84025,-61.23365,0,Beaver Island Airport,FK-U-A,Beaver Island,
FK-0007,,-51.82929993,-60.45140076,0,Spring Point Landing Strip,FK-U-A,Spring Point Settlement,
EGYP,,-51.82279968,-58.44720078,244,Mount Pleasant Airport,FK-U-A,Mount Pleasant,
FK-0005,,-51.819282,-58.980893,0,Goose Green Airfield,FK-U-A,Goose Green,
FK-0015,,-51.755735,-60.534498,0,Shallow Harbour Airport,FK-U-A,Shallow Harbour,
FK-0014,,-51.753339,-60.415834,0,Dunnose Head Airport,FK-U-A,Dunnose Head,
FK-0018,,-51.746491,-61.281616,0,New Island Airport,FK-U-A,New Island,
FK-0017,,-51.719307,-60.062361,0,Chartres Airport,FK-U-A,Chartres,
SFAL,,-51.68569946,-57.77759933,75,Port Stanley Airport,FK-U-A,Stanley,
SCNT,,-51.67150116,-72.52839661,217,Tte. Julio Gallardo Airport,CL-MA,Puerto Natales,
AR-0316,,-51.6686,-69.2603,68,Rio Chico Airport,AR-Z,Rio Gallegos,
FK-0033,,-51.613225,-59.516675,0,Port Howard Airstrip,FK-U-A,Port Howard,
SAWG,,-51.6089,-69.3126,61,Piloto Civil N. Fernández Airport,AR-Z,Rio Gallegos,
SAWT,,-51.605,-72.2203,909,28 de Noviembre Airport,AR-Z,Rio Turbio,
FK-0021,,-51.575581,-59.041846,0,San Carlos Airport,FK-U-A,San Carlos,
FK-0009,,-51.5681,-59.533699,0,Port Howard Purvis Pond Airstrip,FK-U-A,Port Howard Settlement,
FK-0006,,-51.53939819,-60.35639954,0,Roy Cove Landing Strip,FK-U-A,Roy Cove,
FK-0016,,-51.504427,-60.144435,0,Hill Cove Airport,FK-U-A,Hill Cove,
FK-0008,,-51.50166702,-59.00361252,0,Port San Carlos Landing Strip,FK-U-A,Port San Carlos,
FK-0024,,-51.459942,-58.612131,0,Douglas Station Airport,FK-U-A,Douglas,
FK-0020,,-51.436639,-58.378874,0,Salvador Airport,FK-U-A,Salvador,
FK-0031,,-51.420879,-60.422927,0,Dunbar Airport,FK-U-A,Dunbar,
FK-0010,,-51.37810135,-60.09160995,0,Saunders Island Landing Strip,FK-U-A,Saunders Island Settlement,
FK-0030,,-51.365478,-59.691389,0,Golding Island Airport,FK-U-A,Golding Island,
FK-0004,,-51.34561157,-60.68397141,0,West Point Island Landing Strip,FK-U-A,West Point Island,
FK-0036,,-51.310931,-59.566162,1,Pebble Island Beach Airstrip,FK-U-A,Pebble Island,
FK-0002,,-51.30978775,-59.60877228,0,Pebble Island Landing Strip,FK-U-A,Pebble Island Settlement,
FK-0011,,-51.26367188,-60.59207916,0,Carcass Island Landing Strip,FK-U-A,Carcass Island,
SCPY,,-51.26222229,-72.33750153,427,Cerro Castillo Airport,CL-MA,Cerro Castillo,
AR-0579,,-51.162246,-69.487675,0,Coy Aike Airport,AR-Z,Coy Aike,
SAWA,,-50.336102,-72.248596,732,Lago Argentino Airport,AR-Z,El Calafate,
AR-0154,,-50.303495,-69.926057,1226,Estancia San Ramón Airport,AR-Z,Santa Cruz,
SAWC,,-50.2803,-72.053101,669,El Calafate Airport,AR-Z,El Calafate,
SAWU,,-50.0165,-68.5792,364,Santa Cruz Airport,AR-Z,Santa Cruz,
SA33,,-49.9951,-68.9531,78,Comandante Luis Piedrabuena Airport,AR-Z,Comandante Luis Piedrabuena,
AR-0580,,-49.727768,-68.756606,0,Estancia Elena Airport,AR-Z,Rio Chico,
AR-0496,,-49.328889,-72.93,1279,Aeroclub de El Chaltén Alf. G.N.A. Walter Omar D Anna,AR-Z,,
SAWJ,,-49.3068,-67.8026,203,Capitan D Daniel Vazquez Airport,AR-Z,San Julian,
SCIO,,-48.93357849,-72.79961395,1970,Laguna Redonda Airport,CL-AI,Villa O'Higgins,
SAWR,,-48.7831,-70.150002,356,Gobernador Gregores Airport,AR-Z,Gobernador Gregores,
SCOH,,-48.46921158,-72.5643158,898,Villa O'Higgins Airport,CL-AI,Villa O'Higgins,
AR-0609,,-48.331097,-66.417847,0,Bahía Laura Airport,AR-Z,Bahía Laura,
SCTP,,-48.22777939,-73.29777527,197,Río Pascua Airport,CL-AI,Tortel,
SCEY,,-48.20145174,-72.32758999,1550,Entrada Mayer Airport,CL-AI,Entrada Mayer,
AR-0611,,-48.138678,-67.655065,0,Tres Cerros Airport,AR-Z,Tres Cerros,
SCRB,,-47.98583221,-73.1388855,37,Río Bravo Airport,CL-AI,Tortel,
SCCR,,-47.78777695,-73.52027893,4,Enrique Mayer Soto Airport,CL-AI,Caleta Tortel,
SAWD,,-47.7353,-65.9041,268,Puerto Deseado Airport,AR-Z,Puerto Deseado,
SA19,,-47.7201004,-65.93240356,271,Puerto Deseado West Airport,AR-Z,Puerto Deseado,
SCVS,,-47.67722321,-73.06777954,56,Lago Vargas Airport,CL-AI,Cochrane,
AR-0497,,-47.565833,-71.74,0,Hipólito Yrigoyen Lago Posadas Airport,AR-Z,,
SCND,,-47.47305679,-72.95194244,262,Ñadis Airport,CL-AI,Ñadis,
SCBR,,-47.39194489,-72.31749725,540,Lago Brown Airport,CL-AI,Lago Brown,
SCHR,,-47.24380112,-72.58840179,643,Cochrane Airport,CL-AI,Cochrane,
SCEB,,-47.18416595,-71.97611237,1640,Entrada Baker Airport,CL-AI,Entrada Baker,
SCAL,,-47.115556,-72.480278,1116,Valchac Airport,CL-AI,Cochrane,
AR-0610,,-47.021639,-67.241585,0,Fitz Roy Airport,AR-Z,Fitz Roy,
NZRC,,-46.8997,168.100998,62,Ryan's Creek Aerodrome,NZ-STL,Oban,
SCHH,,-46.79360962,-72.79528046,721,Punta Baja Airport,CL-AI,Chile Chico,
SCLO,,-46.76555634,-72.81833649,705,Leones Airport,CL-AI,Chile Chico,
SCMC,,-46.74555588,-72.52610779,950,Meseta Cosmelli Airport,CL-AI,Puerto Guadal,
SCRF,,-46.63888931,-73.84999847,20,Laguna San Rafael Airport,CL-AI,Laguna San Rafael,
SCSZ,,-46.59999847,-72.6166687,680,Puerto Sanchéz Airport,CL-AI,Puerto Sanchez,
SCCC,,-46.58330154,-71.68740082,1070,Chile Chico Airport,CL-AI,Chile Chico,
AR-0235,,-46.57640076,-70.94860077,1312,Lago Buenos Aires Airport,AR-Z,Lago Buenos Aires,
SCFC,,-46.55110931,-72.21805573,693,Fachinal Airport,CL-AI,Fachinal,
SA25,,-46.539,-67.5639,295,Cañadon Seco Airport,AR-Z,Cañadon Seco,
SAVH,,-46.53829956,-68.96530151,1082,Las Heras Airport,AR-Z,Las Heras,
SAWP,,-46.537899,-70.978699,1410,Perito Moreno Airport,AR-Z,Perito Moreno,
NZ-0020,,-46.4549,167.8495,30,Center Island Airstrip,NZ-STL,Raratoka Island,
SCRU,,-46.45333481,-72.6883316,600,Río Murta Airport,CL-AI,Rio Murta,
AR-0007,,-46.43180084,-67.51860046,37,Caleta Olivia Airport,AR-Z,Caleta Olivia,
NZNV,,-46.41239929,168.3130035,5,Invercargill Airport,NZ-STL,Invercargill,
SCEX,,-46.353611,-73.327778,59,Río Exploradores Airport,CL-AI,Aysén,
SCII,,-46.28583145,-71.94777679,820,Puerto Ingeniero Ibañez Airport,CL-AI,Puerto Ingeniero Ibañez,
NZBA,,-46.24330139,169.75,22,Balclutha Aerodrome,NZ-OTA,Balclutha,
AR-0260,,-46.19079971,-69.28029633,1397,Los Perales Airport,AR-Z,Las Heras,
NZGC,,-46.15670013,168.897995,200,Gore3 Airport,NZ-STL,,
NZCB,,-46.04000092,168.3119965,255,Centre Bush Aerodrome,NZ-STL,Centre Bush,
NZVL,,-45.99029922,168.8119965,351,Mandeville Aerodrome,NZ-STL,,
NZDN,,-45.92810059,170.197998,4,Dunedin Airport,NZ-OTA,Dunedin,
SCBA,,-45.91609955,-71.6894989,1722,Balmaceda Airport,CL-AI,Balmaceda,
AR-0019,,-45.9033,-67.5564,170,13 De Diciembre Airport,AR-U,Comodoro Rivadavia,
NZTI,,-45.86000061,170.3580017,92,Taieri Airport,NZ-OTA,,
SAVC,,-45.7853,-67.4655,189,General E. Mosconi Airport,AR-U,Comodoro Rivadavia,
SAWM,,-45.70389938,-70.24559784,1784,Rio Mayo Airport,AR-U,Rio Mayo,
SCCY,,-45.59420013,-72.10610199,1020,Teniente Vidal Airport,CL-AI,Coyhaique,
AR-0494,,-45.582371,-68.999841,877,Colonia Sarmiento Airport,AR-U,Sarmiento,
SCQO,,-45.580556,-73.225556,46,Quitralco Airport,CL-AI,Aysén,
SAVM,,-45.5752,-69.077,889,Lago Musters Airport,AR-U,Sarmiento,
NZMO,,-45.53310013,167.6499939,687,Manapouri Airport,NZ-STL,,
NZRX,,-45.51169968,169.3170013,463,Roxburgh Aerodrome,NZ-OTA,,
NZTZ,,-45.46279907,167.701004,791,Te Anau Airport,NZ-STL,,
SCAS,,-45.39920044,-72.67030334,30,Cabo 1° Juan Román Airport,CL-AI,Puerto Aysen,
NZLX,,-45.21170044,169.3730011,752,Alexandra Airport,NZ-OTA,Alexandra,
SCIH,,-45.147777,-73.508614,115,Caleta Andrade Airport,CL-AI,Isla Las Huichas,
NZCS,,-45.04859924,169.1710052,856,Cromwell Racecourse Aerodrome,NZ-OTA,,
NZ-0021,,-45.0419,170.2403,1637,Glenshe Airstrip,NZ-OTA,,
NZQN,,-45.021099,168.738998,1171,Queenstown International Airport,NZ-OTA,Queenstown,
SAVR,,-45.013599,-70.812202,2286,D. Casimiro Szlapelis Airport,AR-U,Alto Rio Senguerr,
NZ-0022,,-44.9791,169.2176,1010,Cromwell/Louburn Airport,NZ-OTA,Cromwell,
NZOU,,-44.97000122,171.0820007,99,Oamaru Airport,NZ-OTA,,
NZGY,,-44.87170029,168.397995,1260,Glenorchy Airport,NZ-OTA,,
NZWM,,-44.79000092,171.0919952,79,Waimate Airport,NZ-CAN,,
AR-0148,,-44.7761116,-70.19638824,1834,Estancia La Laurita Airport,AR-U,Alto Rio Senguerr,
AR-0500,,-44.76667,-65.71667,0,Camerones Field,AR-U,,
SCPK,,-44.74583435,-72.70055389,45,Puerto Cisnes Airport,CL-AI,Puerto Cisnes,
NZWF,,-44.72219849,169.2460022,1142,Wanaka Airport,NZ-OTA,,
NZMF,,-44.6733017,167.9230042,10,Milford Sound Airport,NZ-STL,,
NZ-0003,,-44.66090009,169.2396641,0,Hawea Downs,NZ-OTA,,
SCRC,,-44.62638855,-71.6388855,1640,Villa Tapera Airport,CL-AI,Rio Cisnes,
AR-0606,,-44.5728,-65.3706,45,Estancia La Elba,AR-U,Punta Roja,
NZ-0008,,-44.51150131,170.6699982,0,Cattle Creek Airstrip,NZ-CAN,,
SCRE,,-44.5,-71.3216629,2150,Estancia Río Cisnes Airport,CL-AI,Rio Cisnes,
NZOA,,-44.48669815,169.9859924,1381,Omarama Glider Airport,NZ-CAN,,
AR-0151,,-44.44194412,-70.4422226,2021,Estancia Nueva Lubecka Airport,AR-U,Jose de San Martin,
NZ-0010,,-44.43809891,169.3910065,1000,Dingleburn Station Airstrip,NZ-OTA,,
SCPH,,-44.38560104,-72.59420013,43,Puyuhuapi Airport,CL-AI,Puyuhuapi,
NZMJ,,-44.36579895,168.0180054,348,Martins Bay Aerodrome,NZ-STL,,
NZTU,,-44.30279922,171.2250061,89,Timaru Airport,NZ-CAN,,
NZ-0014,,-44.29498291,168.1149445,1,Big Bay Beach strip,NZ-WTC,Big Bay,
NZ-0026,,-44.293668,-176.203505,0,Pitt Island Airstrip,NZ-U-A,Pitt Island,
SCVE,,-44.27083206,-71.91666412,1020,Lago Verde Airport,CL-AI,Lago Verde,
NZUK,,-44.23500061,170.1179962,1575,Pukaki Airport,NZ-CAN,Twitzel,
NZMW,,-44.2317009,169.2299957,1142,Makarora Airstrip,NZ-OTA,,
SCBC,,-44.23110962,-71.86416626,750,Cacique Blanco Airport,CL-AI,Lago Verde,
NZ-0018,,-44.18457364,168.1924438,0,Gorge River Airstrip,NZ-WTC,Gorge River,
NZ-0025,,-44.1845736,168.1924438,0,Gorge River Airstrip,NZ-U-A,Jackson Bay,
SCOO,,-44.0975,-73.096944,20,Melimoyu Airport,CL-AI,Cisnes,
NZRI,,-44.08499908,171.4160004,288,Rangitata Island Airport,NZ-CAN,Rangitata Island,
SAWS,,-44.04859924,-70.45890045,2407,Jose De San Martin Airport,AR-U,Chubut,
NZTL,,-44.00529861,170.4440002,2496,Tekapo Aerodrome,NZ-CAN,,
NZ-0017,,-43.99769211,168.6603851,0,Neils Beach,NZ-WTC,,
SCLJ,,-43.97527695,-72.41305542,120,La Junta Airport,CL-AI,La Junta,
NZGT,,-43.90670013,170.128006,1824,Glentanner Airport,NZ-CAN,Glentanner Station,
NZAS,,-43.90330124,171.7969971,302,Ashburton Aerodrome,NZ-CAN,,
SCMK,,-43.89500046,-73.7388916,35,Melinka Airport,CL-AI,Melinka,
SAVP,,-43.86669922,-69.05000305,575,Paso De Los Indios Airport,AR-U,Paso de los Indios,
NZHT,,-43.86529922,169.0410004,13,Haast Aerodrome,NZ-WTC,,
NZCI,,-43.81000137,-176.4570007,43,Chatham Islands-Tuuta Airport,NZ-WGN,Waitangi,
SCMA,,-43.7863884,-72.95027924,10,Puerto Marín Balmaceda Airport,CL-AI,Puerto Marin Balmaceda,
NZMC,,-43.76499939,170.1329956,2153,Mount Cook Airport,NZ-CAN,,
AR-0506,,-43.729305,-67.284822,0,Las Plumas Filed,AR-U,,
AR-0408,,-43.72139,-71.24556,2427,Estancia Caridad Airport,AR-U,El Corcovado,
NZ-0007,,-43.68368912,172.1490021,0,Dunsandel,NZ-CAN,,
NZ-0006,,-43.67855072,172.1174774,285,Arkwrights Airstrip/Dunsandel (Private),NZ-CAN,,
AR-0614,,-43.674928,-66.493948,0,Dique Florentino Ameghino Airport,AR-U,Dique Florentino Ameghino,
NZ-0015,,-43.67060089,172.5899963,0,Taitapu Ag strip,NZ-CAN,Taitapu,
NZ-0001,,-43.6411705,170.9023743,0,Mesopotamia Station Airstrip,NZ-CAN,,
NZ-0011,,-43.63935089,172.5254059,20,Worthy Lodge airstrip (Ladbrooks),NZ-CAN,,
NZ-0012,,-43.63925552,172.5306702,20,Kings (Ladbrooks),NZ-CAN,,
SCHT,,-43.61305618,-72.89749908,13,Tic Toc Airport,CL-LL,Chaiten,
AR-0349,,-43.61222076,-71.02194214,2361,Estancia Tecka Airport,AR-U,Chubut,
SCAP,,-43.61190033,-71.80609894,794,Alto Palena Airport,CL-LL,Alto Palena,
NZPH,,-43.59420013,171.5310059,1558,Pudding Hill Aerodrome,NZ-CAN,,
NZ-0004,,-43.57743835,171.1709137,2000,Hakatere Airstrip,NZ-CAN,,
NZWG,,-43.55110168,172.5529938,74,Wigram Airport,NZ-CAN,Christchurch,
AR-0134,,-43.53359985,-71.48470306,1968,El Corcovado Airport,AR-U,El Corcovado - Esquel,
NZCH,,-43.48939896,172.5319977,123,Christchurch International Airport,NZ-CAN,Christchurch,
NZWL,,-43.47669983,172.3970032,312,West Melton Aerodrome,NZ-CAN,,
NZ-0002,,-43.46634293,171.1623535,0,Arrowsmith Station,NZ-CAN,,
YBHB,,-43.42070007,146.1560059,0,Bathurst Harbour Airport,AU-TAS,,
NZFF,,-43.38579941,172.3609924,381,Forest Field Aerodrome,NZ-CAN,,
NZFJ,,-43.36309814,170.1340027,240,Franz Josef Aerodrome,NZ-WTC,,
AR-0312,,-43.2944,-65.0644,36,Rawson Airport,AR-U,Rawson,
NZRT,,-43.29000092,172.5420074,180,Rangiora Airfield,NZ-CAN,Rangiora,
NZ-0009,,-43.27455902,171.2175598,1800,Manuka Point Lodge Airstrip,NZ-CAN,,
SA34,,-43.2356,-65.3241,127,Trelew Aeroclub Airport,AR-U,Trelew,
YBYI,,-43.23419952,147.3800049,0,Bruny Island Airport,AU-TAS,,
YGVE,,-43.22999954,147.0119934,0,Glendevie Airport,AU-TAS,,
SAVT,,-43.2105,-65.2703,141,Almirante Marco Andres Zar Airport,AR-U,Rawson,
SCFT,,-43.18920135,-71.85109711,1148,Futaleufú Airport,CL-LL,Futaleufu,
SCON,,-43.13669968,-73.63500214,16,Quellón Airport,CL-LL,Quellon,
AR-0464,,-43.08797,-71.47868,1245,Trevelin Airport,AR-U,Trevelin,
YLPR,,-43.04999924,146.3329926,0,Lake Pedder Airport,AU-TAS,,
SCEA,,-43.00611115,-72.47833252,1083,El Amarillo Airport,CL-LL,Chaiten,
YSFY,,-42.99169922,147.2079926,0,Sandfly Airport,AU-TAS,,
SCTN,,-42.93280029,-72.69909668,13,Chaitén Airport,CL-LL,Chaiten,
SAVE,,-42.90800095,-71.13950348,2621,Brigadier Antonio Parodi Airport,AR-U,Esquel,
SCQX,,-42.89305496,-73.47638702,60,Queilén Airport,CL-LL,Queilen,
YLAG,,-42.88499832,147.9530029,0,Lagoon Bay Airport,AU-TAS,,
YMHB,,-42.83610153,147.5099945,13,Hobart International Airport,AU-TAS,Hobart,
YCBG,,-42.8266983,147.4750061,67,Hobart Cambridge Airport,AU-TAS,,
SCLR,,-42.78055573,-72.64472198,345,Los Alerces Airport,CL-LL,Chaiten,
NZ-0013,,-42.7676506,172.8919678,597,Culverden,NZ-CAN,Hurunui District Council,
AR-0499,,-42.764154,-63.643799,0,Punta Delgada Field,AR-U,,
SAVY,,-42.7592,-65.1027,427,El Tehuelche Airport,AR-U,Puerto Madryn,
SCIK,,-42.74666595,-72.97055817,45,Isla Talcan Airport,CL-LL,Isla Talcan,
NZHK,,-42.71360016,170.9850006,146,Hokitika Airfield,NZ-WTC,,
SCUI,,-42.69583511,-72.83333588,18,Pumalín Airport,CL-LL,Chaiten,
SCFS,,-42.67889023,-73.89666748,82,Los Calafates Airport,CL-LL,Chonchi,
NZ-0005,,-42.6012001,171.6990051,600,Lake Haupiri/Gloriavale Christian Community Airport,NZ-WTC,,
SCIA,,-42.59972382,-73.21221924,250,Isla Apiao Airport,CL-LL,Isla Apiao,
SCRH,,-42.58555603,-72.4944458,16,Reñihúe Airport,CL-LL,Reñihue,
YDAR,,-42.57274087,148.0691814,0,Darlington Airport,AU-TAS,,
SCGN,,-42.56361008,-72.59972382,33,Caleta Gonzalo Airport,CL-LL,Chaiten,
AR-0498,,-42.550804,-64.269397,0,Puerto Piramides Airport,AR-U,,
NZHR,,-42.55080032,172.8269958,1109,Hanmer Springs Airport,NZ-CAN,,
SCPN,,-42.54611206,-72.49416351,33,Pillán Airport,CL-LL,Chaiten,
SCHD,,-42.52444458,-72.81694794,66,Chumilden Airport,CL-LL,Chaiten,
AR-0503,,-42.521363,-68.287861,0,Gan Gan Field,AR-U,,
YTUA,,-42.51369858,147.897995,0,Triabunna Airport,AU-TAS,,
SCST,,-42.49029922,-73.77279663,151,Gamboa Airport,CL-LL,Castro,
SCDH,,-42.48888779,-72.35055542,98,Vodudahue Airport,CL-LL,Chaiten,
AR-0102,,-42.484722,-71.460556,1883,Cholila Airport,AR-U,Cholila,
SCQE,,-42.46722412,-73.33583069,164,Quenac Airport,CL-LL,Isla Quenac,
NZGM,,-42.46170044,171.1900024,10,Greymouth Airport,NZ-WTC,,
AR-0501,,-42.454874,-63.61908,0,Caleta Valdés Field,AR-U,,
SCAH,,-42.44940186,-73.52469635,551,Tolquien Airport,CL-LL,Achao,
NZKI,,-42.42499924,173.6049957,20,Kaikoura Airport,NZ-CAN,,
AR-0502,,-42.383333,-66.95,0,Telsen,AR-U,,
YBEL,,-42.36669922,147.0330048,0,Bothwell Airport,AU-TAS,,
YJCO,,-42.36669922,147.3170013,0,Jericho Airport,AU-TAS,,
SCPQ,,-42.340388,-73.715693,528,Mocopulli Airport,CL-LL,Dalcahue,
SCAY,,-42.310832,-72.790275,80,Ayacara Airport,CL-LL,Ayacara,
SCIB,,-42.30833435,-73.14221954,150,Butachauques Airport,CL-LL,Isla Butachauques,
AR-0504,,-42.276165,-69.221892,0,Gastre Field,AR-U,,
SCYO,,-42.226667,-72.693611,13,Poyo Airport,CL-LL,El Chaiten,
AR-0237,,-42.217499,-71.805003,1836,Lago La Esperanza Airport,AR-U,Esquel,
AR-0505,,-42.17195981,-70.666176,0,Cushamen Field,AR-U,,
AU-0023,,-42.16777802,147.4458313,713,Woodbury Airfield,AU-TAS,,
YSRN,,-42.15499878,145.2920074,20,Strahan Airport,AU-TAS,,
SCQW,,-42.15277863,-73.51694489,393,Quemchi Airport,CL-LL,Quemchi,
