station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
SE-0008,,57.98004,12.14489,0,Kattleberg Airfield,SE-Q,,
RU-7741,,57.98830032,60.23500061,886,Salka Airfield,RU-SVE,Nizhny Tagil,
RU-0241,,58,38.84,0,Rybinsk Yuzhny Airfield,RU-YAR,Rybinsk,
ESGH,,58.02930069,13.10820007,0,Herrljunga Airport,SE-Q,Herrljunga,
CA-0203,,58.033333,-114.133331,1008,Lambert Creek Tower Airport,CA-AB,Lambert Creek,
ESGO,,58.03939819,12.78890038,328,Vårgårda Airport,SE-Q,Vårgårda,
CKN3,,58.041502,-120.9092,1630,Kahntah Airport,CA-BC,Kahntah,
CJW7,,58.05310059,-104.4840012,1562,Cigar Lake Airport,CA-SK,Cigar Lake,
A43,,58.06909943,-134.0149994,0,Taku Harbor Seaplane Base,US-AK,Taku Harbor,
ENXV,,58.07720184,1.888890028,0,Varg Platform,NO-U-A,,
ENXP,,58.07830048,1.909999967,0,Petrojarl Varg Platform,NO-U-A,,
CA-0685,,58.085,-68.4,3,Kuujjuaq Water Aerodrome,CA-QC,Kuujjuaq,
EERD,,58.0852778,25.8988889,295,Riidaja,EE-U-A,,
CYVP,,58.09609985,-68.42690277,129,Kuujjuaq Airport,CA-QC,Kuujjuaq,
PAOH,,58.0961,-135.410111,19,Hoonah Airport,US-AK,Hoonah,
ESSI,,58.09840012,14.40260029,0,Visingsö Airport,SE-F,Visingsö,
ENLI,,58.09949875,6.626049995,29,Lista Airport,NO-10,Farsund,
UUBK,,58.10419846,38.9294014,423,Staroselye Airport,RU-YAR,Rybinsk,
CZWL,,58.10689926,-103.1719971,1360,Wollaston Lake Airport,CA-SK,Wollaston Lake,
OOH,,58.11220169,-135.4519958,0,Hoonah Seaplane Base,US-AK,Hoonah,
EEKI,,58.115556,25.552778,0,lennuväli,EE-84,Karksi,
HWI,,58.12739944,-134.7559967,0,Hawk Inlet Seaplane Base,US-AK,Hawk Inlet,
CKL4,,58.12789917,-103.7797699,1444,Hidden Bay Airport,CA-SK,Hidden Bay,
RU-0471,,58.127988,93.477721,0,Novoangarsk Airport,RU-KYA,Novoangarsk,
7AK2,,58.13439941,-133.7299957,14,Snettisham Airport,US-AK,Snettisham,
ESGC,,58.1344986,13.6026001,0,Ålleberg Airport,SE-Q,Ålleberg,
USTO,,58.13579941,68.23190308,167,Tobolsk Airport,RU-TYU,Tobolsk,
UIBS,,58.13610077,102.5650024,1339,Ust-Ilimsk Airport,RU-IRK,Ust-Ilimsk,
XLLL,,58.139545,30.33042,266,Soltsy-2 Air Base,RU-NGR,Soltsy,
RU-0447,,58.142135,28.203349,240,Seredka Airfield,RU-PSK,Seredka,
EEKU,,58.14830017,24.00250053,10,Kihnu Airfield,EE-67,Saareküla,
ESGK,,58.1697998,13.58780003,785,Falköping Airport,SE-Q,Falköping,
CFN5,,58.1728752,-116.3379192,1046,La Crete Airport,CA-AB,La Crete,
ESGA,,58.17720032,11.97350025,0,Backamo Airport,SE-Q,Uddevalla,
RU-0470,,58.180921,94.745272,0,Motygino Airport,RU-KYA,Motygino,
PAII,,58.1855011,-157.375,92,Egegik Airport,US-AK,Egegik,
ENDP,,58.18809891,2.471110106,0,Draupner Platform,NO-U-A,,
EE-4931,,58.18999863,25.94829941,203,Tõrva Air Base,EE-84,Torva,
KKB,,58.1908989,-152.3699951,0,Kitoi Bay Seaplane Base,US-AK,Kitoi Bay,
ESGD,,58.19179916,13.99569988,0,Bämmelshed Airport,SE-Q,Tidaholm,
PAEL,,58.19520187,-136.3470001,0,Elfin Cove Seaplane Base,US-AK,Elfin Cove,
CA-0251,,58.20000076,-132.3166656,0,Muddy Lake Airport,CA-BC,,
ENCN,,58.204201,8.08537,57,Kristiansand Airport,NO-10,Kjevik,
CFN4,,58.20474905,-111.3839006,778,Embarras Airport,CA-AB,Embarras,
EE-0005,,58.2133333,22.51,0,Roomassaare Seaplane Base,EE-74,Kuressaare,
